ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0383,6.5049,8.7754,-1.6963,5.8714,7.6694,-0.2327,0.0784,1.2828,-0.2747,-0.5838,0.2464,46.4546,-6.3,-42,-35.4,136.13,-36.78,12.47,2,1003.14,38.639,,,,NaN,,,,,0 / 18,11,2018-03-09 10:29:29:306
-0.6419,5.9396,8.1335,-1.1032,5.6152,7.9638,0.4311,0.316,0.1028,0.0417,-0.0367,0.0216,45.8394,-9.45,-39.15,-37.95,128.22,-34.93,7.89,2,1003.13,52.014,,,,NaN,,,,,0 / 18,511,2018-03-09 10:29:29:806
-1.4945,6.4187,7.3862,-1.7474,6.1979,7.3961,0.5885,0.2832,0.2175,0.2868,0.22,0.0253,46.3199,-8.1,-41.7,-37.35,133.54,-36.24,9,2,1003.13,39.864,,,,NaN,,,,,0 / 18,1012,2018-03-09 10:29:30:307
-1.2167,6.2079,7.6641,-1.7195,5.9601,7.5954,0.4608,0.3515,0.4438,-0.0669,-0.0612,-0.013,46.5753,-5.55,-42.6,-34.65,135.16,-37.83,13.19,2,1003.12,40.764,,,,NaN,,,,,0 / 18,1511,2018-03-09 10:29:30:806
-1.5328,6.6629,7.4629,-1.8265,6.1475,7.4191,0.3386,0.2686,0.6404,0.3821,0.3164,0.0328,45.7071,-2.55,-44.25,-30.75,144.16,-38.17,12.38,2,1003.12,38.678,,,,NaN,,,,,0 / 18,2011,2018-03-09 10:29:31:306
-1.3316,6.5528,7.9994,-1.628,6.2337,7.3933,0.4098,0.3327,0.3283,0.0642,-0.0713,0.0109,44.3468,-4.05,-45.3,-32.85,142.95,-39.48,12.77,2,1003.12,40.197,,,,NaN,,,,,0 / 18,2512,2018-03-09 10:29:31:807
-0.4503,6.7108,8.282,-0.4461,5.9825,7.7576,-0.689,0.682,-0.2163,-0.0413,-0.1965,0.2479,42.6731,-11.1,-41.55,-35.4,129.53,-38.34,6.05,2,1003.11,46.038,,,,NaN,,,,,0 / 18,3011,2018-03-09 10:29:32:306
-0.6035,4.4883,8.0712,-0.1274,7.0733,6.7914,1.8181,-2.2467,-0.3683,0.2245,-0.2055,0.0013,44.3932,-15,-46.8,-26.85,139.89,-38.52,5.88,2,1003.12,53.886,,,,NaN,,,,,0 / 18,3511,2018-03-09 10:29:32:806
4.9912,7.6976,6.9264,0.4233,5.8962,7.8247,-0.7792,0.6682,-1.3671,0.4141,-0.0223,-0.1675,43.5529,-16.2,-40.65,-36,129.39,-35.63,-2.16,2,1003.13,45.801,,,,NaN,,,,,0 / 18,4011,2018-03-09 10:29:33:306
0.2443,6.275,7.3431,0.2537,5.8164,7.8915,0.5896,0.3657,0.0014,0.208,0.187,-0.0296,45.4518,-14.85,-41.1,-35.7,129.45,-36.38,-1.84,2,1003.12,41.235,,,,NaN,,,,,0 / 18,4512,2018-03-09 10:29:33:807
0.4694,6.5288,7.4725,-0.5393,5.8777,7.8315,0.7742,0.8243,-0.4213,-0.0269,-0.1091,0.3427,45.3937,-12.75,-41.4,-33.6,130.4,-36.82,3.94,2,1003.1,58.234,,,,NaN,,,,,0 / 18,5012,2018-03-09 10:29:34:307
-0.1389,5.4846,8.282,-0.4895,5.1494,8.3315,0.0323,-0.1568,0.463,0.5174,0.26,-0.0535,45.8394,-10.5,-37.35,-40.35,131.29,-31.67,3.36,2,1003.09,39.448,,,,NaN,,,,,0 / 18,5512,2018-03-09 10:29:34:807
-0.9245,5.6714,8.5071,-0.6809,5.2807,8.2353,-0.3525,0.7485,-0.1602,0.0045,-0.148,-0.2511,46.6333,-9.15,-38.25,-40.95,127.03,-33.99,4.16,2,1003.08,40.231,,,,NaN,,,,,0 / 18,6012,2018-03-09 10:29:35:307
0.1245,5.9061,7.7215,-0.108,5.7073,7.974,0.375,0.035,0.3222,0.3629,0.0134,0.0599,44.0799,-13.95,-38.85,-37.95,127.33,-33.96,1.22,2,1003.1,39.146,,,,NaN,,,,,0 / 18,6511,2018-03-09 10:29:35:806
-0.0048,5.9013,7.8413,-0.1846,5.7973,7.9075,0.3437,0.0769,0.7446,-0.0595,0.1635,0.1004,42.5408,-12.3,-40.05,-36,130.98,-36.24,1.34,2,1003.1,39.938,,,,NaN,,,,,0 / 18,7011,2018-03-09 10:29:36:306
-0.1293,5.8199,7.8988,-0.4604,5.7706,7.9157,0.4434,0.0494,-1.1557,-0.2603,-0.0692,0.0147,42.9749,-12.9,-40.2,-36.3,127.68,-36.05,3.33,2,1003.11,40.255,,,,NaN,,,,,0 / 18,7511,2018-03-09 10:29:36:806
0.1629,5.6235,8.67,-0.1906,5.4538,8.148,0.3922,0.2123,0.6573,0.0231,0.0197,0.0046,44.3932,-12,-38.25,-39.3,127.92,-33.79,1.34,2,1003.11,38.83,,,,NaN,,,,,18-Jan,8011,2018-03-09 10:29:37:306
0.1724,5.566,8.5981,-0.1993,5.3882,8.1913,0.3924,0.16,0.4584,-0.1117,0.0314,0.028,44.0334,-12,-39.3,-37.65,131.96,-33.62,1.36,2,1003.12,39.021,,,,NaN,,,,,18-Jan,8512,2018-03-09 10:29:37:807
0.1198,5.293,8.8568,-0.2344,5.1901,8.3173,0.3055,0.1051,0.5524,-0.1016,-0.0203,-0.0135,45.3937,-12.3,-36.9,-40.95,125.93,-32.29,1.69,2,1003.12,39.388,,,,NaN,,,,,18-Feb,9012,2018-03-09 10:29:38:307
-0.0623,5.1206,9.0771,-0.2219,5.1906,8.3174,0.1423,0.0313,0.74,-0.2667,0.0953,0.0525,46.378,-12.45,-36.75,-39.6,128.52,-31.96,1.53,2,1003.12,40.751,,,,NaN,,,,,18-Feb,9512,2018-03-09 10:29:38:807
-0.115,5.8965,7.5299,-0.529,5.562,8.0594,0.469,0.409,-1.0118,0.0199,-0.1178,-0.005,45.7071,-11.85,-39.15,-37.5,128.97,-34.54,4.13,2,1003.13,39.366,,,,NaN,,,,,18-Feb,10012,2018-03-09 10:29:39:307
0.1198,5.7241,7.5635,-0.2543,5.895,7.8329,0.0269,0.132,1.0005,-0.018,-0.1684,-0.0764,45.4053,-12.9,-40.2,-36.75,127.97,-35.22,3.34,2,1003.13,40.853,,,,NaN,,,,,18-Feb,10512,2018-03-09 10:29:39:807
0.0527,6.0642,7.2857,-0.1981,5.998,7.7559,0.4938,0.2104,0.122,0.044,0.0218,-0.0033,41.3128,-14.25,-42,-35.1,128.87,-37.7,1.62,2,1003.13,40.477,,,,NaN,,,,,18-Feb,11012,2018-03-09 10:29:40:307
-0.0096,5.8822,8.5167,-0.3312,5.7578,7.9315,0.2683,0.0946,-0.0401,0.1122,-0.204,0.0372,43.5994,-12,-40.05,-36.45,131.44,-35.56,2.39,2,1003.13,40.765,,,,NaN,,,,,18-Feb,11512,2018-03-09 10:29:40:807
0.2012,5.9061,8.167,-0.1993,5.7806,7.9193,0.1946,0.1649,0.3001,0.1229,-0.1327,0.0079,43.1072,-12.45,-38.1,-37.5,125.06,-36.12,1.44,2,1003.13,40.896,,,,NaN,,,,,18-Feb,12012,2018-03-09 10:29:41:307
0.0335,5.5517,8.3059,-0.1609,5.6795,7.993,0.6354,0.1294,0.8611,-0.0236,0.115,-0.0337,41.3593,-12,-39.6,-36.45,131.82,-36.16,0.73,2,1003.13,40.198,,,,NaN,,,,,18-Feb,12512,2018-03-09 10:29:41:807
-0.0958,5.7912,8.2724,-0.2192,5.623,8.0314,0.4134,0.1667,0.9244,0.1181,-0.0235,-0.0044,43.1072,-14.1,-37.95,-37.65,122.59,-34.96,1.51,2,1003.12,39.879,,,,NaN,,,,,18-Mar,13012,2018-03-09 10:29:42:307
0.2012,5.8678,7.6401,-0.2289,5.6591,8.0058,0.1981,0.1044,0.6565,0.0334,0.0032,-0.0055,43.467,-12.9,-39.45,-36.75,127.94,-34.87,1.96,2,1003.13,41.183,,,,NaN,,,,,18-Mar,13512,2018-03-09 10:29:42:807
0.0623,5.978,8.6652,-0.1195,5.6901,7.9861,0.1624,-0.0017,0.9318,0.0925,0.0676,0.0323,43.1536,-13.05,-38.55,-37.35,128.16,-35.36,0.47,2,1003.14,39.602,,,,NaN,,,,,18-Mar,14012,2018-03-09 10:29:43:307
0.0192,5.5996,8.9574,-0.1955,5.7105,7.9701,0.2985,0.0938,0.4491,-0.0164,-0.0757,0.0094,43.467,-13.5,-38.85,-38.25,123.24,-35.61,1.41,2,1003.14,40.427,,,,NaN,,,,,18-Mar,14511,2018-03-09 10:29:43:806
0.1437,5.7959,8.7514,-0.1473,5.71,7.9715,0.3356,0.1127,0.7519,-0.0574,-0.1225,0.011,42.6731,-13.8,-40.35,-38.1,125.59,-35.55,1.31,2,1003.15,40.344,,,,NaN,,,,,18-Mar,15011,2018-03-09 10:29:44:306
0.2443,5.8247,8.4065,-0.041,5.6886,7.988,0.2794,0.1445,0.3206,0.0151,0.009,0.0105,42.5408,-12.9,-39.45,-37.95,126.8,-35.35,0.27,2,1003.16,39.676,,,,NaN,,,,,18-Mar,15511,2018-03-09 10:29:44:806
0.2443,5.8438,8.3203,-0.0404,5.7032,7.9776,0.243,0.0646,0.1764,-0.0313,0.0154,-0.0045,42.239,-12.45,-38.85,-37.05,129.92,-35.66,0.18,2,1003.16,39.964,,,,NaN,,,,,18-Mar,16011,2018-03-09 10:29:45:306
0.3066,5.7816,8.4257,0.0119,5.6822,7.9926,0.2619,0.104,0.3292,-0.0243,0.0159,-2.00E-04,43.1536,-13.35,-39.3,-37.35,128.13,-35.61,-0.1,2,1003.16,39.686,,,,NaN,,,,,18-Mar,16512,2018-03-09 10:29:45:807
0.3353,5.7816,8.3203,0.0374,5.6528,8.0134,0.1883,0.047,0.4968,-0.0014,-0.0352,-0.0556,43.1536,-12.15,-40.2,-37.95,132.28,-35.2,-0.27,2,1003.17,40.179,,,,NaN,,,,,18-Mar,17012,2018-03-09 10:29:46:307
0.3209,5.7864,8.0904,0.0185,5.7024,7.9783,0.2568,0.0785,-0.0304,0.1213,0.0463,0.0185,42.239,-13.2,-39.45,-37.5,128.29,-35.55,-0.13,2,1003.16,39.045,,,,NaN,,,,,18-Mar,17512,2018-03-09 10:29:46:807
0.2203,5.9396,7.6641,0.0946,5.9129,7.823,0.3016,-0.0244,-0.2727,-0.2894,0.0687,0.0702,42.2855,-16.2,-40.35,-36.9,124.01,-36.12,-1.06,2,1003.16,40.122,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,18011,2018-03-09 10:29:47:306
-0.0862,5.4798,7.7072,-0.2044,5.4055,8.1798,0.1792,0.1227,-0.1347,0.0573,0.2934,0.0803,44.4791,-14.4,-37.2,-41.4,121.26,-32.8,1.31,2,1003.16,41.314,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,18511,2018-03-09 10:29:47:806
0.2108,5.7193,7.8796,-0.1287,5.5477,8.0856,0.3825,0.2916,-0.1742,0.0419,0.0122,0.018,44.9596,-13.8,-37.5,-38.55,122.71,-33.38,1.51,2,1003.15,41.032,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,19011,2018-03-09 10:29:48:306
0.3449,6.0354,8.1047,-0.2189,5.8175,7.8917,0.2262,0.0836,-0.3028,0.6225,0.6753,-0.0097,42.6731,-13.5,-40.2,-37.95,123.34,-36.39,1.59,2,1003.16,39.478,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,19512,2018-03-09 10:29:48:807
0.1054,5.9828,8.8999,0.0238,5.6935,7.9846,-0.0642,-0.1122,1.3186,0.2747,0.0276,-0.031,42.1067,-15.15,-39,-36.9,124.53,-35.49,-0.17,2,1003.16,41.518,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,20012,2018-03-09 10:29:49:307
-0.8478,6.7108,7.1659,-0.7327,6.2421,7.5279,0.1726,0.1807,-0.5142,-0.5717,-0.8863,-0.2734,44.9596,-11.85,-42.6,-34.2,129.06,-39.53,5.56,2,1003.16,40.35,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,20511,2018-03-09 10:29:49:806
0.1677,6.0163,8.0473,-0.1332,5.8857,7.8429,0.2338,0.0952,0.7216,0.068,-0.073,0.0238,43.1653,-13.35,-40.65,-36.9,128.93,-36.47,1.26,2,1003.15,40.621,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,21011,2018-03-09 10:29:50:306
0.4167,5.8726,8.3442,0.0237,5.9398,7.8031,0.078,0.079,0.9151,0.5282,0.1209,0.0515,42.2855,-15,-39.9,-36.3,123.73,-37.3,-0.05,2,1003.15,39.373,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,21511,2018-03-09 10:29:50:806
0.4167,6.1648,8.4209,0.0223,6.1577,7.6323,0.2718,0.1375,0.9554,-0.0145,0.1401,-0.0934,39.9409,-13.05,-42.45,-34.8,129.65,-38.9,-0.17,2,1003.15,41.716,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,22012,2018-03-09 10:29:51:307
0.1677,6.6198,8.3155,-0.0944,6.2002,7.5973,0.2487,0.0717,0.2253,0.1578,0.3345,0.0344,41.3012,-13.95,-42.6,-36.3,126.44,-39.22,0.71,2,1003.14,41.215,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,22512,2018-03-09 10:29:51:807
0.0766,6.1983,8.1431,-0.1692,6.0281,7.7333,0.3067,0.1134,0.1883,-0.0041,-0.0293,0.0089,42.1067,-12.9,-40.95,-34.2,130.22,-37.93,1.25,2,1003.14,40.369,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,23011,2018-03-09 10:29:52:306
-0.0958,5.8965,8.4017,-0.2367,6.0561,7.7096,0.3622,0.0506,-0.0935,0.1882,-6.00E-04,0.0131,42.7196,-12.15,-41.55,-37.05,130.19,-37.81,0.88,2,1003.13,39.486,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,23511,2018-03-09 10:29:52:806
0.3832,6.3755,8.6029,-0.0755,5.8981,7.8343,-0.0526,-0.1453,0.514,-0.3269,0.0255,0.0477,40.3866,-12.3,-41.1,-34.05,130.81,-38.95,0.39,2,1003.16,39.837,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,24011,2018-03-09 10:29:53:306
0.0287,5.9013,8.5023,-0.139,5.7804,7.9207,0.2103,-0.0013,0.328,0.0225,-0.0448,9.00E-04,43.467,-12.75,-41.4,-37.65,128.47,-36.12,1.01,2,1003.16,40.247,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,24512,2018-03-09 10:29:53:807
-0.3928,6.6677,7.9658,0.2114,6.4217,7.4086,0.3402,0.5332,0.0175,-0.1042,0.1071,0.1042,41.7933,-13.2,-43.65,-33.45,133.43,-40.91,-1.63,2,1003.16,40.263,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,25012,2018-03-09 10:29:54:307
0.5221,6.4666,8.2149,0.1138,6.1906,7.6048,0.2236,-0.107,0.327,-0.036,0.1225,0.0301,39.3745,-14.4,-42.45,-34.8,127.13,-39.52,-1.49,2,1003.17,40.598,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,25511,2018-03-09 10:29:54:806
0.0335,6.2079,9.6376,-0.1008,6.0939,7.6828,0.1251,0.169,0.1457,-0.3135,-0.1433,-0.062,41.3128,-14.25,-41.25,-33.9,127.52,-38.42,0.83,2,1003.17,41.278,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,26011,2018-03-09 10:29:55:306
0.1293,6.0929,8.3251,-0.0605,6.0475,7.7198,0.2941,0.1108,-0.2309,0.0508,-0.0016,0.0216,41.1805,-11.4,-40.2,-34.65,131.97,-37.93,0.34,2,1003.17,40.504,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,26512,2018-03-09 10:29:55:807
0.3401,5.748,8.076,0.0046,6.0217,7.7401,0.1757,0.1159,0.5503,-0.1308,-0.1113,-0.0583,42.2855,-13.8,-41.1,-34.05,129.39,-37.88,-0.03,2,1003.16,39.421,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,27012,2018-03-09 10:29:56:307
0.1868,6.2271,7.8892,0.1376,6.1997,7.597,0.2161,-0.2205,0.3104,-0.1495,-0.2727,0.0152,42.2855,-13.95,-40.5,-33.9,127.87,-37.73,-0.18,2,1003.17,40.703,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,27511,2018-03-09 10:29:56:806
0.3593,6.3276,7.87,0.1699,6.2984,7.5148,0.1547,0.0294,0.2331,-0.15,-0.0538,0.0035,39.9874,-14.25,-42.3,-33,129.18,-39.96,-1.3,2,1003.14,40.791,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,28012,2018-03-09 10:29:57:307
0.0766,5.9923,8.8664,0.1027,6.1757,7.6171,0.141,0.0413,0.9637,0.0252,0.1262,0.0104,39.9409,-12.45,-42.6,-33,136.23,-39.29,-0.32,2,1003.16,40.175,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,28512,2018-03-09 10:29:57:807
-0.1485,6.0546,8.1431,0.1162,6.0605,7.7089,0.2378,0.0822,1.1015,-0.4376,0.2706,0.0722,38.9404,-14.4,-42.15,-34.05,125.4,-40.73,-1.14,2,1003.16,39.379,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,29011,2018-03-09 10:29:58:306
0.0335,6.433,8.1383,0.0998,6.1835,7.6109,0.4257,0.0733,0.3033,-0.2688,-0.1321,-0.0929,41.7933,-14.85,-42.45,-34.8,123.73,-39.96,-1.25,2,1003.16,40.894,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,29512,2018-03-09 10:29:58:807
0.0335,5.9875,8.2149,-0.1011,5.9227,7.8155,0.1738,-0.0186,0.641,-0.1325,-0.0117,-0.0364,43.1536,-12.75,-41.4,-36.45,129.35,-37.15,0.74,2,1003.15,39.919,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,30011,2018-03-09 10:29:59:306
0.206,6.4474,7.4054,0.1793,6.4069,7.4222,0.1325,0.277,0.4873,0.4748,-0.3926,-0.1158,41.7933,-11.7,-42.45,-31.95,134.55,-40.31,-1.15,2,1003.16,40.545,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,30511,2018-03-09 10:29:59:806
0.3832,6.3755,7.1946,-0.091,6.0967,7.6806,0.029,0.0959,1.0554,-0.4158,-0.2104,-0.0748,41.1805,-13.35,-41.1,-34.8,128.89,-38.14,0.41,2,1003.16,39.641,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,31011,2018-03-09 10:30:00:306
-0.3353,6.2031,8.0233,-0.1532,6.0839,7.6898,0.1315,0.1265,0.8997,0.2084,0.2311,0.1319,42.2274,-13.35,-40.65,-36.45,126.59,-38.23,0.87,2,1003.16,39.865,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,31511,2018-03-09 10:30:00:806
-0.2395,6.4809,7.4725,-0.5091,6.5238,7.3042,-0.1958,0.0536,0.6876,-0.2709,-0.4283,-0.1568,42.0487,-11.25,-43.2,-31.95,130.76,-41.7,3.99,2,1003.16,41.458,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,32011,2018-03-09 10:30:01:306
0.3928,6.9216,8.0089,0.1986,6.4435,7.39,0.2327,-0.0627,0.2122,-0.036,0.082,-0.07,37.7124,-14.25,-42.3,-33.9,124.77,-41.08,-1.54,2,1003.16,39.496,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,32512,2018-03-09 10:30:01:807
0.1293,6.1648,7.894,0.0153,6.1011,7.6777,0.1735,-0.0063,0.2641,-0.0312,0.0032,0.0035,40.8671,-12.75,-41.7,-35.25,130.41,-38.61,-0.23,2,1003.17,42.385,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,33011,2018-03-09 10:30:02:306
0.2299,6.1073,8.1239,0.0154,6.0655,7.7058,0.198,0.0151,0.0363,-0.0083,-0.0091,0.0067,41.3012,-12.3,-41.4,-35.25,131.5,-38.21,-0.11,2,1003.16,47.225,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,33511,2018-03-09 10:30:02:806
0.1485,5.7433,8.3395,-0.022,5.7956,7.9108,0.2013,0.0379,0.0956,-0.1809,0.0325,0.0253,42.2274,-13.5,-40.2,-35.4,127.02,-37.32,0.1,2,1003.17,40.785,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,34011,2018-03-09 10:30:03:306
-0.2012,3.9135,9.7142,-0.3565,3.9628,8.9632,0.0899,0.0321,0.8498,-0.0355,-0.0288,-0.0167,47.2578,-9.9,-29.85,-46.65,126.02,-23.83,2.28,2,1003.17,41.081,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,34512,2018-03-09 10:30:03:807
0.0431,4.7565,8.7897,-0.2445,4.3705,8.7755,0.2707,0.03,0.1162,-0.4909,0.1896,0.0887,47.1997,-11.25,-33.45,-44.7,123.09,-28.62,0.6,2,1003.17,39.552,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,35011,2018-03-09 10:30:04:306
-0.0096,4.5649,8.8233,-0.1273,4.586,8.6673,0.1717,0.0297,-0.2003,-0.0664,0.0687,0.0344,49.9784,-10.65,-34.05,-43.05,130.75,-27.88,0.84,2,1003.16,41.261,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,35512,2018-03-09 10:30:04:807
-0.1006,4.9673,8.5023,-0.1464,4.8149,8.542,0.1648,0.0397,0.2364,0.1451,0.1204,-0.0274,46.7076,-12,-36.15,-41.85,131.33,-29.05,0.97,2,1003.18,40.891,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,36011,2018-03-09 10:30:05:306
0.1245,5.1541,9.4076,-0.0585,5.1397,8.3517,0.0773,0.1237,0.692,0.3618,-0.0693,0.0248,47.2462,-10.05,-38.1,-41.1,132.21,-30.23,0.88,2,1003.16,39.917,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,36512,2018-03-09 10:30:05:807
-0.091,5.4654,8.6556,-0.1825,5.3502,8.2166,0.035,0.1219,-0.2398,0.1605,-0.162,-0.0572,45.7071,-11.1,-38.1,-38.25,133.06,-33.11,1.57,2,1003.16,41.668,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,37012,2018-03-09 10:30:06:307
0.2156,5.6618,8.2868,0.0901,5.6314,8.028,0.0801,-0.0141,0.0638,0.1903,-0.0837,-0.0076,43.9011,-13.95,-40.2,-37.5,130.03,-35.05,-0.64,2,1003.17,39.68,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,37512,2018-03-09 10:30:06:807
0.0575,5.5421,8.3969,-0.0889,5.5338,8.0956,0.1483,0.005,0.3711,0.0556,0.1065,0.0131,43.9011,-11.85,-38.1,-38.25,128.49,-34.47,0.68,2,1003.17,42.83,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,38012,2018-03-09 10:30:07:307
-0.1102,5.5804,8.828,-0.2811,5.4921,8.1196,0.2416,0.0971,0.0589,-0.1453,-0.0704,-0.0737,45.4518,-10.8,-38.85,-39.15,126.78,-35.39,2.55,2,1003.16,41.781,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,38511,2018-03-09 10:30:07:806
-0.1198,5.4511,8.5167,-0.2209,5.4123,8.1749,0.08,0.0179,0.3059,0.0052,-0.024,0.0462,45.8859,-11.1,-38.4,-39.15,129.62,-33.72,1.9,2,1003.17,59.543,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,39011,2018-03-09 10:30:08:306
-0.2826,5.2786,8.0329,-0.5593,5.2964,8.2344,0.308,-0.0176,-0.1818,0.0243,0.2918,-0.2888,47.6803,-7.95,-38.1,-39.6,135.07,-32.69,3.89,2,1003.17,54.292,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,39511,2018-03-09 10:30:08:806
-0.5892,3.9757,9.4172,-0.6342,4.0307,8.9175,0.2035,0.0582,0.4639,-0.4332,-0.0421,-0.0039,51.3387,-7.5,-32.4,-46.2,128.24,-26.31,3.58,2,1003.18,42.891,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,40012,2018-03-09 10:30:09:307
-1.3412,4.8763,8.6939,-1.1731,4.8155,8.462,-0.1288,0.1759,-0.288,0.3034,-0.1055,-0.0651,49.3539,-3.45,-36.3,-42.75,137.24,-29.22,9.62,2,1003.18,40.379,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,40512,2018-03-09 10:30:09:807
-0.9005,4.426,8.5694,-0.9943,4.0652,8.8688,0.1697,0.4067,-0.4238,-0.0529,-0.1146,0.0244,49.0522,-4.8,-32.55,-46.95,141.07,-30.01,4.71,2,1003.18,39.633,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,41012,2018-03-09 10:30:10:307
-2.7207,3.6069,11.8314,-0.0864,4.0973,8.9093,-1.6768,-0.4907,3.6377,0.9181,0.5326,1.3554,52.6526,-6.45,-33.75,-44.7,140.48,-22.53,9.24,2,1003.18,40.151,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Mar,41512,2018-03-09 10:30:10:807
0.3257,4.5841,9.3023,0.0142,4.984,8.4457,0.3456,-0.4229,0.8037,0.3812,0.0367,-0.022,54.3262,-13.8,-35.55,-40.95,126.09,-30.55,-0.1,2,1003.17,43.311,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Apr,42011,2018-03-09 10:30:11:306
-1.1113,5.2978,8.646,-0.5624,5.1675,8.3157,-0.5357,0.0722,0.351,0.1282,0.0223,0.1426,52.9659,-8.55,-36.9,-40.2,132.59,-31.8,3.87,2,1003.17,44.096,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Apr,42512,2018-03-09 10:30:11:807
-1.255,5.7001,8.3826,-0.7628,5.5985,8.0153,-0.5252,0.1167,0.344,-0.0524,0.0574,-0.031,50.8489,-9,-38.4,-38.7,126.96,-34.81,5.44,2,1003.17,44.691,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Apr,43012,2018-03-09 10:30:12:307
-1.231,5.4606,8.3969,-0.8789,5.4872,8.0801,-0.4126,-0.0361,0.3066,-0.0364,0.0287,-0.0102,52.2092,-7.95,-37.35,-38.7,127.26,-34.22,6.26,2,1003.16,59.26,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Apr,43511,2018-03-09 10:30:12:806
-1.5232,5.8007,8.1,-0.9341,5.6476,7.9626,-0.3092,0.0555,0.085,0.0435,-0.0097,0.0601,51.8215,-7.65,-38.4,-39.15,126.37,-35.32,6.55,2,1003.16,55.511,35.77282,-78.677925,263.23,NaN,,,70.35806,,19-Apr,44011,2018-03-09 10:30:13:306
